#                       1.000e-06  2.000e-04  1.000e-04  2.000e-03  1.000e-03
# iter          energy    delta_e   grad_max   grad_rms   disp_max   disp_rms
108     1.300039000102 -1.281e-06  9.176e-02  3.826e-02  5.426e-06* 1.908e-06*
109     1.300004411223 -3.459e-05  4.484e-02  2.046e-02  7.721e-05* 2.437e-05*
110     1.299998368410 -6.043e-06  7.698e-02  3.306e-02  4.158e-05* 1.610e-05*
111     1.299960580375 -3.779e-05  6.857e-02  2.585e-02  1.022e-04* 3.515e-05*
112     1.299852178756 -1.084e-04  2.049e-01  8.241e-02  3.975e-04* 1.908e-04*
113     1.299735293887 -1.169e-04  5.565e-02  2.705e-02  1.395e-04* 4.477e-05*
114     1.299733826072 -1.468e-06  6.697e-02  3.006e-02  1.236e-05* 3.791e-06*
115     1.299703173479 -3.065e-05  4.019e-02  2.451e-02  9.669e-05* 2.848e-05*
116     1.299629601675 -7.357e-05  2.225e-01  5.997e-02  2.324e-04* 1.218e-04*
117     1.299561086572 -6.852e-05  6.308e-02  2.813e-02  1.069e-04* 3.654e-05*
118     1.299557345060 -3.742e-06  8.993e-02  3.579e-02  2.250e-05* 9.391e-06*
119     1.299515633774 -4.171e-05  5.878e-02  2.218e-02  8.066e-05* 3.409e-05*
120     1.299487103625 -2.853e-05  1.029e-01  4.949e-02  1.218e-04* 5.566e-05*
121     1.299424970413 -6.213e-05  5.583e-02  2.643e-02  1.196e-04* 3.976e-05*
122     1.299412684492 -1.229e-05  1.120e-01  4.439e-02  6.717e-05* 2.759e-05*
123     1.299356070076 -5.661e-05  7.670e-02  2.783e-02  1.359e-04* 4.777e-05*
124     1.299336657455 -1.941e-05  1.989e-01  5.380e-02  9.475e-05* 4.560e-05*
125     1.299253849568 -8.281e-05  7.093e-02  2.945e-02  1.431e-04* 5.673e-05*
126     1.299242766829 -1.108e-05  1.272e-01  5.242e-02  6.933e-05* 3.294e-05*
127     1.299142890700 -9.988e-05  7.792e-02  3.947e-02  2.152e-04* 8.597e-05*
128     1.299047028211 -9.586e-05  3.555e-01  1.113e-01  4.509e-04* 2.193e-04*
129     1.298838447837 -2.086e-04  5.001e-02  2.784e-02  2.203e-04* 7.354e-05*
130     1.298838259368 -1.885e-07* 4.999e-02  2.833e-02  1.538e-06* 5.331e-07*
131     1.298810757309 -2.750e-05  6.373e-02  2.687e-02  9.250e-05* 2.675e-05*
132     1.298763029335 -4.773e-05  8.647e-02  3.176e-02  1.602e-04* 7.043e-05*
133     1.298683376701 -7.965e-05  1.296e-01  4.774e-02  1.765e-04* 8.232e-05*
134     1.298620195587 -6.318e-05  4.518e-02  2.286e-02  1.405e-04* 4.319e-05*
135     1.298609776562 -1.042e-05  1.007e-01  4.106e-02  7.496e-05* 2.540e-05*
136     1.298519094625 -9.068e-05  7.142e-02  3.781e-02  1.935e-04* 8.916e-05*
137     1.297868166710 -6.509e-04  5.693e-01  1.618e-01  1.713e-03* 1.010e-03 
138     1.297443095974 -4.251e-04  1.024e-01  5.141e-02  2.774e-04* 8.816e-05*
139     1.297434435875 -8.660e-06  1.489e-01  5.866e-02  3.628e-05* 1.260e-05*
140     1.297350241782 -8.419e-05  7.439e-02  3.235e-02  1.126e-04* 4.215e-05*
141     1.297308541302 -4.170e-05  1.430e-01  4.830e-02  1.180e-04* 4.847e-05*
142     1.297249680598 -5.886e-05  5.360e-02  2.304e-02  1.002e-04* 3.615e-05*
143     1.297225524755 -2.416e-05  8.473e-02  3.227e-02  7.886e-05* 3.284e-05*
144     1.297193493142 -3.203e-05  4.565e-02  2.506e-02  8.687e-05* 3.261e-05*
145     1.297144385306 -4.911e-05  1.903e-01  6.697e-02  2.026e-04* 1.005e-04*
146     1.297061811075 -8.257e-05  5.748e-02  2.409e-02  1.526e-04* 3.812e-05*
147     1.297058179126 -3.632e-06  9.689e-02  3.172e-02  3.210e-05* 8.619e-06*
148     1.296993615565 -6.456e-05  1.269e-01  4.352e-02  1.817e-04* 7.822e-05*
149     1.296904729369 -8.889e-05  6.190e-02  3.256e-02  2.257e-04* 7.734e-05*
150     1.296825576218 -7.915e-05  2.353e-01  6.867e-02  3.121e-04* 1.452e-04*
151     1.296686086300 -1.395e-04  6.520e-02  2.926e-02  2.262e-04* 7.716e-05*
152     1.296676673177 -9.413e-06  1.327e-01  4.208e-02  6.294e-05* 2.380e-05*
153     1.296568505356 -1.082e-04  1.904e-01  6.252e-02  2.622e-04* 1.160e-04*
154     1.296458137868 -1.104e-04  6.304e-02  2.457e-02  1.788e-04* 6.794e-05*
155     1.296446158401 -1.198e-05  1.228e-01  4.531e-02  7.347e-05* 2.958e-05*
156     1.296156207098 -2.900e-04  1.936e-01  7.852e-02  7.632e-04* 4.307e-04*
157     1.295890533155 -2.657e-04  1.491e-01  5.867e-02  3.750e-04* 1.692e-04*
158     1.295742287483 -1.482e-04  1.317e-01  7.076e-02  3.857e-04* 1.834e-04*
159     1.295472742712 -2.695e-04  3.229e-01  8.703e-02  5.447e-04* 2.219e-04*
160     1.295279010010 -1.937e-04  1.091e-01  3.615e-02  3.333e-04* 1.141e-04*
161     1.295255224199 -2.379e-05  2.134e-01  5.882e-02  1.393e-04* 5.399e-05*
162     1.295091627284 -1.636e-04  2.356e-01  5.844e-02  3.841e-04* 1.699e-04*
163     1.294861926400 -2.297e-04  1.359e-01  6.004e-02  4.528e-04* 2.384e-04*
164     1.294594243461 -2.677e-04  2.961e-01  8.776e-02  5.301e-04* 2.613e-04*
165     1.294309816062 -2.844e-04  1.397e-01  4.179e-02  4.179e-04* 1.859e-04*
166     1.294280101696 -2.971e-05  2.753e-01  7.517e-02  1.657e-04* 7.963e-05*
167     1.293905236390 -3.749e-04  3.570e-01  1.006e-01  8.421e-04* 4.385e-04*
168     1.293408294711 -4.969e-04  1.885e-01  7.325e-02  8.130e-04* 4.023e-04*
169     1.293082542233 -3.258e-04  4.046e-01  1.598e-01  1.115e-03* 6.331e-04*
170     1.292461500456 -6.210e-04  2.309e-01  8.744e-02  7.537e-04* 3.004e-04*
171     1.292404299699 -5.720e-05  4.537e-01  1.207e-01  2.498e-04* 1.140e-04*
172     1.292058774285 -3.455e-04  1.537e-01  6.768e-02  3.713e-04* 1.781e-04*
173     1.292019338770 -3.944e-05  2.742e-01  9.774e-02  1.572e-04* 8.127e-05*
174     1.291793735090 -2.256e-04  1.134e-01  4.390e-02  2.913e-04* 1.205e-04*
175     1.291780750920 -1.298e-05  2.013e-01  6.392e-02  8.455e-05* 3.772e-05*
176     1.291610436420 -1.703e-04  1.139e-01  4.220e-02  3.051e-04* 1.446e-04*
177     1.291516216925 -9.422e-05  2.081e-01  7.917e-02  3.379e-04* 1.679e-04*
178     1.291324538331 -1.917e-04  1.523e-01  5.202e-02  3.722e-04* 1.243e-04*
179     1.291284131561 -4.041e-05  3.171e-01  8.352e-02  2.267e-04* 9.121e-05*
180     1.291125171432 -1.590e-04  1.222e-01  4.467e-02  2.157e-04* 8.431e-05*
181     1.291093256278 -3.192e-05  2.234e-01  7.038e-02  1.165e-04* 5.383e-05*
182     1.290962502121 -1.308e-04  1.219e-01  3.383e-02  2.059e-04* 7.853e-05*
183     1.290950364673 -1.214e-05  1.599e-01  5.203e-02  6.304e-05* 3.177e-05*
184     1.290848114790 -1.022e-04  1.178e-01  4.338e-02  2.272e-04* 9.555e-05*
185     1.290684694913 -1.634e-04  2.900e-01  9.605e-02  5.379e-04* 2.661e-04*
186     1.290512726668 -1.720e-04  7.621e-02  3.507e-02  2.116e-04* 6.926e-05*
187     1.290494783011 -1.794e-05  1.345e-01  5.303e-02  8.716e-05* 3.021e-05*
188     1.290382103839 -1.127e-04  1.598e-01  5.320e-02  2.620e-04* 1.013e-04*
189     1.290205160516 -1.769e-04  1.753e-01  5.745e-02  4.122e-04* 1.817e-04*
190     1.290100747790 -1.044e-04  1.129e-01  4.598e-02  2.131e-04* 9.477e-05*
191     1.289997951556 -1.028e-04  1.583e-01  6.778e-02  2.739e-04* 1.512e-04*
192     1.289859812407 -1.381e-04  1.139e-01  5.303e-02  2.308e-04* 9.052e-05*
193     1.289708221510 -1.516e-04  1.922e-01  6.589e-02  2.687e-04* 1.439e-04*
194     1.289587296526 -1.209e-04  1.537e-01  5.173e-02  2.034e-04* 8.660e-05*
195     1.289516865094 -7.043e-05  1.975e-01  7.466e-02  1.966e-04* 1.010e-04*
196     1.289409836958 -1.070e-04  9.900e-02  3.294e-02  1.589e-04* 5.711e-05*
197     1.289402967074 -6.870e-06  1.191e-01  4.621e-02  5.605e-05* 1.929e-05*
198     1.289331031319 -7.194e-05  7.179e-02  3.560e-02  1.636e-04* 6.166e-05*
199     1.289235087658 -9.594e-05  2.134e-01  7.080e-02  2.458e-04* 1.230e-04*
200     1.289130331361 -1.048e-04  3.511e-02  2.008e-02  1.570e-04* 5.013e-05*
201     1.289122357513 -7.974e-06  1.131e-01  3.521e-02  4.892e-05* 1.789e-05*
202     1.289036818225 -8.554e-05  2.444e-01  8.168e-02  2.710e-04* 1.500e-04*
203     1.288917188070 -1.196e-04  5.230e-02  2.493e-02  1.515e-04* 4.550e-05*
204     1.288907155253 -1.003e-05  8.059e-02  3.563e-02  5.445e-05* 1.739e-05*
205     1.288859411756 -4.774e-05  1.164e-01  3.529e-02  1.383e-04* 4.982e-05*
206     1.288788584175 -7.083e-05  1.341e-01  4.323e-02  2.008e-04* 7.278e-05*
207     1.288700174125 -8.841e-05  1.332e-01  4.416e-02  1.714e-04* 8.475e-05*
208     1.288529615437 -1.706e-04  1.738e-01  6.663e-02  4.410e-04* 2.060e-04*
209     1.288334901468 -1.947e-04  1.700e-01  5.482e-02  3.970e-04* 1.490e-04*
210     1.288182645513 -1.523e-04  4.707e-01  9.861e-02  5.613e-04* 2.508e-04*
211     1.287913215256 -2.694e-04  1.478e-01  5.675e-02  3.217e-04* 1.439e-04*
212     1.287881875798 -3.134e-05  2.526e-01  7.930e-02  1.538e-04* 6.557e-05*
213     1.287731066126 -1.508e-04  1.343e-01  3.681e-02  1.882e-04* 8.152e-05*
214     1.287708976816 -2.209e-05  1.673e-01  4.868e-02  9.445e-05* 3.482e-05*
215     1.287632136028 -7.684e-05  9.998e-02  4.237e-02  1.678e-04* 6.537e-05*
216     1.287544477593 -8.766e-05  2.020e-01  6.710e-02  2.582e-04* 1.205e-04*
217     1.287435570673 -1.089e-04  9.226e-02  3.428e-02  1.752e-04* 6.057e-05*
218     1.287407586776 -2.798e-05  1.604e-01  5.285e-02  1.093e-04* 4.296e-05*
219     1.287326994346 -8.059e-05  1.189e-01  3.801e-02  1.772e-04* 6.521e-05*
220     1.287292501537 -3.449e-05  1.891e-01  6.747e-02  1.519e-04* 7.021e-05*
221     1.287188521872 -1.040e-04  6.301e-02  2.771e-02  1.484e-04* 5.400e-05*
222     1.287175282459 -1.324e-05  1.485e-01  4.679e-02  5.934e-05* 2.766e-05*
223     1.287077328596 -9.795e-05  8.725e-02  3.881e-02  1.802e-04* 9.518e-05*
224     1.286859984191 -2.173e-04  3.298e-01  1.290e-01  6.486e-04* 3.584e-04*
225     1.286608516413 -2.515e-04  6.442e-02  2.513e-02  2.040e-04* 5.872e-05*
226     1.286594172990 -1.434e-05  5.854e-02  2.366e-02  5.150e-05* 1.466e-05*
227     1.286593133042 -1.040e-06  6.526e-02  2.726e-02  1.187e-05* 3.423e-06*
228     1.286556821263 -3.631e-05  1.207e-01  4.629e-02  1.346e-04* 5.201e-05*
229     1.286510629388 -4.619e-05  4.691e-02  2.228e-02  7.586e-05* 2.854e-05*
230     1.286500218384 -1.041e-05  1.010e-01  3.790e-02  4.709e-05* 2.045e-05*
231     1.286440860409 -5.936e-05  6.834e-02  2.851e-02  1.238e-04* 5.244e-05*
