# energy of ethane ( 0.0000 ps of eq)
         time    e_total         e_kin       e_pot  e_nonbond    e_bonded    e_boundary       e_vdw      e_elst      e_bond     e_angle   e_tors        e_oop temperature    pressure
      0.0689      7.392633      4.8253      2.5673      0.0000      2.5673      0.0000      0.0000      0.0000      1.2140      1.2706      0.0827      0.0000   202.34917    64.23682
      0.0699      7.392759      5.0495      2.3433      0.0000      2.3433      0.0000      0.0000      0.0000      1.4728      0.7816      0.0888      0.0000   211.74878    44.76656
      0.0709      7.392300      5.8757      1.5166      0.0000      1.5166      0.0000      0.0000      0.0000      1.0372      0.3838      0.0957      0.0000   246.39588    35.96396
      0.0719      7.391731      6.6487      0.7430      0.0000      0.7430      0.0000      0.0000      0.0000      0.4536      0.1860      0.1034      0.0000   278.81480    34.73465
      0.0729      7.391700      6.5675      0.8242      0.0000      0.8242      0.0000      0.0000      0.0000      0.4770      0.2356      0.1117      0.0000   275.40798    33.03206
      0.0739      7.392270      5.6060      1.7863      0.0000      1.7863      0.0000      0.0000      0.0000      1.1606      0.5054      0.1203      0.0000   235.08619    29.13646
      0.0749      7.392828      4.5962      2.7966      0.0000      2.7966      0.0000      0.0000      0.0000      1.7582      0.9095      0.1289      0.0000   192.74198    30.08386
      0.0759      7.392776      4.3452      3.0476      0.0000      3.0476      0.0000      0.0000      0.0000      1.5780      1.3324      0.1372      0.0000   182.21589    42.17975
      0.0769      7.392217      4.7799      2.6123      0.0000      2.6123      0.0000      0.0000      0.0000      0.8050      1.6628      0.1445      0.0000   200.44430    60.91682
      0.0779      7.391831      5.0981      2.2937      0.0000      2.2937      0.0000      0.0000      0.0000      0.3214      1.8219      0.1505      0.0000   213.78884    72.87996
      0.0789      7.392086      4.7479      2.6442      0.0000      2.6442      0.0000      0.0000      0.0000      0.7055      1.7842      0.1545      0.0000   199.10305    68.55563
      0.0799      7.392686      4.0959      3.2967      0.0000      3.2967      0.0000      0.0000      0.0000      1.5563      1.5840      0.1565      0.0000   171.76321    52.08594
      0.0809      7.392911      4.0012      3.3918      0.0000      3.3918      0.0000      0.0000      0.0000      1.9311      1.3036      0.1570      0.0000   167.78832    37.00130
      0.0819      7.392456      4.7818      2.6106      0.0000      2.6106      0.0000      0.0000      0.0000      1.4100      1.0435      0.1571      0.0000   200.52510    32.63816
      0.0829      7.391797      5.7796      1.6122      0.0000      1.6122      0.0000      0.0000      0.0000      0.5725      0.8820      0.1578      0.0000   242.36639    36.32010
      0.0839      7.391659      6.0452      1.3464      0.0000      1.3464      0.0000      0.0000      0.0000      0.3414      0.8457      0.1594      0.0000   253.50658    39.48911
      0.0849      7.392192      5.3795      2.0127      0.0000      2.0127      0.0000      0.0000      0.0000      0.9452      0.9063      0.1612      0.0000   225.58910    39.84155
      0.0859      7.392805      4.5503      2.8425      0.0000      2.8425      0.0000      0.0000      0.0000      1.6785      1.0022      0.1618      0.0000   190.81842    44.82354
      0.0869      7.392833      4.4430      2.9498      0.0000      2.9498      0.0000      0.0000      0.0000      1.7166      1.0736      0.1596      0.0000   186.31788    62.16298
      0.0879      7.392278      5.1015      2.2908      0.0000      2.2908      0.0000      0.0000      0.0000      1.0452      1.0913      0.1543      0.0000   213.93124    88.37806
      0.0889      7.391789      5.7275      1.6643      0.0000      1.6643      0.0000      0.0000      0.0000      0.4560      1.0613      0.1470      0.0000   240.18119   108.89666
      0.0899      7.391923      5.6162      1.7757      0.0000      1.7757      0.0000      0.0000      0.0000      0.6295      1.0068      0.1394      0.0000   235.51459   110.58666
      0.0909      7.392517      4.9604      2.4322      0.0000      2.4322      0.0000      0.0000      0.0000      1.3547      0.9449      0.1326      0.0000   208.01258    93.62125
      0.0919      7.392869      4.6124      2.7805      0.0000      2.7805      0.0000      0.0000      0.0000      1.7712      0.8825      0.1268      0.0000   193.41970    70.15535
      0.0929      7.392544      5.0769      2.3156      0.0000      2.3156      0.0000      0.0000      0.0000      1.3645      0.8296      0.1216      0.0000   212.89998    51.64990
      0.0939      7.391877      5.8840      1.5079      0.0000      1.5079      0.0000      0.0000      0.0000      0.5821      0.8097      0.1161      0.0000   246.74505    38.90490
      0.0949      7.391616      6.0752      1.3164      0.0000      1.3164      0.0000      0.0000      0.0000      0.3541      0.8523      0.1100      0.0000   254.76246    25.36930
      0.0959      7.392078      5.2792      2.1129      0.0000      2.1129      0.0000      0.0000      0.0000      1.0359      0.9734      0.1036      0.0000   221.38380     9.02470
      0.0969      7.392780      4.1670      3.2258      0.0000      3.2258      0.0000      0.0000      0.0000      1.9675      1.1611      0.0972      0.0000   174.74329    -1.72231
      0.0979      7.392965      3.7522      3.6408      0.0000      3.6408      0.0000      0.0000      0.0000      2.1771      1.3725      0.0912      0.0000   157.34782     4.15219
      0.0989      7.392459      4.3048      3.0877      0.0000      3.0877      0.0000      0.0000      0.0000      1.4591      1.5430      0.0856      0.0000   180.52103    27.11473
      0.0999      7.391860      5.0972      2.2946      0.0000      2.2946      0.0000      0.0000      0.0000      0.6089      1.6059      0.0798      0.0000   213.75294    53.77753
      0.1009      7.391858      5.2673      2.1246      0.0000      2.1246      0.0000      0.0000      0.0000      0.5346      1.5174      0.0726      0.0000   220.88245    68.18119
      0.1019      7.392437      4.8078      2.5847      0.0000      2.5847      0.0000      0.0000      0.0000      1.2426      1.2788      0.0633      0.0000   201.61399    65.98812
      0.1029      7.392892      4.5446      2.8483      0.0000      2.8483      0.0000      0.0000      0.0000      1.8507      0.9456      0.0520      0.0000   190.57689    56.42739
      0.1039      7.392649      5.1265      2.2662      0.0000      2.2662      0.0000      0.0000      0.0000      1.6100      0.6165      0.0397      0.0000   214.97910    50.48655
      0.1049      7.391938      6.2007      1.1912      0.0000      1.1912      0.0000      0.0000      0.0000      0.7625      0.4002      0.0285      0.0000   260.02642    49.17510
      0.1059      7.391546      6.7441      0.6475      0.0000      0.6475      0.0000      0.0000      0.0000      0.2522      0.3747      0.0206      0.0000   282.81170    45.08665
      0.1069      7.391919      6.1904      1.2015      0.0000      1.2015      0.0000      0.0000      0.0000      0.6308      0.5535      0.0172      0.0000   259.59600    34.67383
      0.1079      7.392651      5.0709      2.3217      0.0000      2.3217      0.0000      0.0000      0.0000      1.4260      0.8776      0.0181      0.0000   212.64969    25.99223
      0.1089      7.392948      4.4349      2.9581      0.0000      2.9581      0.0000      0.0000      0.0000      1.6992      1.2375      0.0215      0.0000   185.97567    31.89469
      0.1099      7.392524      4.7106      2.6819      0.0000      2.6819      0.0000      0.0000      0.0000      1.1387      1.5182      0.0250      0.0000   197.53981    55.71061
      0.1109      7.391912      5.2937      2.0982      0.0000      2.0982      0.0000      0.0000      0.0000      0.4250      1.6462      0.0270      0.0000   221.98992    85.57380
      0.1119      7.391841      5.3073      2.0846      0.0000      2.0846      0.0000      0.0000      0.0000      0.4453      1.6120      0.0272      0.0000   222.56024   104.25446
      0.1129      7.392401      4.6483      2.7441      0.0000      2.7441      0.0000      0.0000      0.0000      1.2584      1.4595      0.0263      0.0000   194.92493   104.24764
      0.1139      7.392943      4.1185      3.2744      0.0000      3.2744      0.0000      0.0000      0.0000      1.9945      1.2548      0.0251      0.0000   172.71030    92.26331
      0.1149      7.392815      4.4909      2.9019      0.0000      2.9019      0.0000      0.0000      0.0000      1.8196      1.0578      0.0246      0.0000   188.32492    79.23197
      0.1159      7.392114      5.5745      1.8176      0.0000      1.8176      0.0000      0.0000      0.0000      0.8868      0.9058      0.0250      0.0000   233.76728    67.89766
      0.1169      7.391597      6.3579      1.0337      0.0000      1.0337      0.0000      0.0000      0.0000      0.1939      0.8133      0.0264      0.0000   266.61987    52.17668
      0.1179      7.391834      6.0963      1.2955      0.0000      1.2955      0.0000      0.0000      0.0000      0.4860      0.7804      0.0292      0.0000   255.64852    28.49485
      0.1189      7.392564      5.1319      2.2607      0.0000      2.2607      0.0000      0.0000      0.0000      1.4210      0.8061      0.0336      0.0000   215.20589     5.13787
      0.1199      7.392974      4.5146      2.8784      0.0000      2.8784      0.0000      0.0000      0.0000      1.9432      0.8949      0.0403      0.0000   189.31855    -2.52012
      0.1209      7.392614      4.8336      2.5590      0.0000      2.5590      0.0000      0.0000      0.0000      1.4610      1.0483      0.0497      0.0000   202.69822    13.04717
      0.1219      7.391916      5.5749      1.8170      0.0000      1.8170      0.0000      0.0000      0.0000      0.5098      1.2454      0.0618      0.0000   233.78419    42.63227
      0.1229      7.391702      5.7392      1.6525      0.0000      1.6525      0.0000      0.0000      0.0000      0.1430      1.4341      0.0754      0.0000   240.67292    67.84385
      0.1239      7.392244      5.0237      2.3685      0.0000      2.3685      0.0000      0.0000      0.0000      0.7331      1.5463      0.0892      0.0000   210.66857    77.55711
      0.1249      7.392932      4.2073      3.1856      0.0000      3.1856      0.0000      0.0000      0.0000      1.5499      1.5342      0.1015      0.0000   176.43305    75.80664
      0.1259      7.392961      4.2737      3.1193      0.0000      3.1193      0.0000      0.0000      0.0000      1.6077      1.4005      0.1111      0.0000   179.21569    73.27413
      0.1269      7.392262      5.2601      2.1322      0.0000      2.1322      0.0000      0.0000      0.0000      0.8145      1.2000      0.1178      0.0000   220.58078    73.01452
      0.1279      7.391596      6.1601      1.2315      0.0000      1.2315      0.0000      0.0000      0.0000      0.0969      1.0128      0.1218      0.0000   258.32383    67.30892
      0.1289      7.391706      6.0206      1.3711      0.0000      1.3711      0.0000      0.0000      0.0000      0.3403      0.9062      0.1246      0.0000   252.47369    49.25433
      0.1299      7.392471      5.0056      2.3868      0.0000      2.3868      0.0000      0.0000      0.0000      1.3543      0.9051      0.1274      0.0000   209.91109    25.14666
      0.1309      7.393040      4.2209      3.1721      0.0000      3.1721      0.0000      0.0000      0.0000      2.0540      0.9865      0.1316      0.0000   177.00345    12.20191
      0.1319      7.392784      4.4871      2.9057      0.0000      2.9057      0.0000      0.0000      0.0000      1.6705      1.0974      0.1377      0.0000   188.16746    22.65230
      0.1329      7.392006      5.4378      1.9542      0.0000      1.9542      0.0000      0.0000      0.0000      0.6241      1.1846      0.1456      0.0000   228.03327    51.04863
      0.1339      7.391588      5.9501      1.4415      0.0000      1.4415      0.0000      0.0000      0.0000      0.0683      1.2188      0.1545      0.0000   249.51703    78.68647
      0.1349      7.392001      5.4167      1.9753      0.0000      1.9753      0.0000      0.0000      0.0000      0.6081      1.2040      0.1631      0.0000   227.15074    90.59508
      0.1359      7.392774      4.4246      2.9682      0.0000      2.9682      0.0000      0.0000      0.0000      1.6279      1.1700      0.1703      0.0000   185.54432    87.12243
      0.1369      7.393029      4.0800      3.3130      0.0000      3.3130      0.0000      0.0000      0.0000      1.9841      1.1537      0.1753      0.0000   171.09388    78.65035
      0.1379      7.392472      4.7474      2.6451      0.0000      2.6451      0.0000      0.0000      0.0000      1.2895      1.1778      0.1779      0.0000   199.08128    70.90511
      0.1389      7.391734      5.6311      1.7607      0.0000      1.7607      0.0000      0.0000      0.0000      0.3473      1.2351      0.1783      0.0000   236.13852    58.42316
      0.1399      7.391659      5.6803      1.7114      0.0000      1.7114      0.0000      0.0000      0.0000      0.2448      1.2897      0.1768      0.0000   238.20330    33.74193
      0.1409      7.392346      4.7984      2.5940      0.0000      2.5940      0.0000      0.0000      0.0000      1.1245      1.2959      0.1736      0.0000   201.21939     1.22327
      0.1419      7.393030      3.9819      3.4111      0.0000      3.4111      0.0000      0.0000      0.0000      2.0167      1.2258      0.1686      0.0000   166.98091   -21.59107
      0.1429      7.392935      4.2169      3.1760      0.0000      3.1760      0.0000      0.0000      0.0000      1.9263      1.0873      0.1624      0.0000   176.83719   -18.46106
