# energy of h2o_5 ( 0.0000 ps of eq)
         time    e_total         e_kin       e_pot  e_nonbond    e_bonded    e_boundary       e_vdw      e_elst      e_bond     e_angle   e_tors        e_oop temperature    pressure
      0.2699    -22.262548      5.7476    -28.0102    -33.8427      5.8325      0.0000      7.0337    -40.8764      2.4715      3.3611      0.0000      0.0000   128.54724    94.06369
      0.2749    -22.262792      6.0665    -28.3293    -34.7107      6.3814      0.0000      7.3649    -42.0756      6.2657      0.1157      0.0000      0.0000   135.67919     4.17236
      0.2799    -22.262852      5.7035    -27.9664    -31.1022      3.1359      0.0000      7.9321    -39.0344      2.0718      1.0640      0.0000      0.0000   127.56139   113.15778
      0.2849    -22.262949      5.5215    -27.7844    -36.8361      9.0516      0.0000      8.5110    -45.3471      5.3758      3.6758      0.0000      0.0000   123.48990    -8.42648
      0.2899    -22.264000      8.5992    -30.8632    -32.5363      1.6732      0.0000      9.1903    -41.7266      1.4646      0.2086      0.0000      0.0000   192.32287   143.83926
      0.2949    -22.264782     10.1755    -32.4403    -38.1604      5.7202      0.0000     10.0012    -48.1616      4.5653      1.1549      0.0000      0.0000   227.57769    55.12815
      0.2999    -22.264499      9.0983    -31.3628    -35.6752      4.3124      0.0000     10.7979    -46.4730      1.7061      2.6063      0.0000      0.0000   203.48596   136.63521
      0.3049    -22.264273      7.9730    -30.2372    -34.6110      4.3738      0.0000     11.5158    -46.1269      3.7454      0.6284      0.0000      0.0000   178.31779    69.30373
      0.3099    -22.264436      8.8036    -31.0680    -35.1366      4.0686      0.0000     12.0583    -47.1949      2.7801      1.2885      0.0000      0.0000   196.89480   107.50144
      0.3149    -22.263871      9.6546    -31.9185    -37.3630      5.4445      0.0000     12.1562    -49.5192      3.5770      1.8675      0.0000      0.0000   215.92926   125.25280
      0.3199    -22.263249      9.2691    -31.5323    -36.8919      5.3596      0.0000     12.1728    -49.0647      4.8056      0.5540      0.0000      0.0000   207.30570    67.44346
      0.3249    -22.263617     10.0878    -32.3514    -38.0839      5.7325      0.0000     12.0694    -50.1533      2.6294      3.1031      0.0000      0.0000   225.61716   160.19657
      0.3299    -22.263986      9.2294    -31.4934    -37.5973      6.1039      0.0000     12.1818    -49.7792      5.0856      1.0183      0.0000      0.0000   206.41938    53.55849
      0.3349    -22.263482      7.8316    -30.0951    -32.8190      2.7239      0.0000     12.2638    -45.0827      1.7718      0.9520      0.0000      0.0000   175.15718   148.95424
      0.3399    -22.263504      7.7413    -30.0048    -39.4350      9.4302      0.0000     12.6401    -52.0751      5.6407      3.7895      0.0000      0.0000   173.13553    38.78705
      0.3449    -22.263882      8.8386    -31.1025    -33.1574      2.0549      0.0000     12.9527    -46.1102      1.6232      0.4317      0.0000      0.0000   197.67799   155.19190
      0.3499    -22.263545      8.2378    -30.5013    -36.8727      6.3713      0.0000     12.7404    -49.6131      5.5703      0.8010      0.0000      0.0000   184.24060    57.35120
      0.3549    -22.263354      6.7669    -29.0302    -35.0740      6.0438      0.0000     12.3588    -47.4328      2.2086      3.8352      0.0000      0.0000   151.34368   104.48990
      0.3599    -22.264257      7.6299    -29.8941    -34.3592      4.4651      0.0000     11.2880    -45.6473      4.2846      0.1805      0.0000      0.0000   170.64471    75.25867
      0.3649    -22.264634      7.4023    -29.6669    -32.4234      2.7565      0.0000     10.3695    -42.7929      2.2010      0.5554      0.0000      0.0000   165.55383    77.06230
      0.3699    -22.264335      7.0927    -29.3570    -35.0384      5.6814      0.0000      9.3646    -44.4031      2.6401      3.0413      0.0000      0.0000   158.63026    92.73048
      0.3749    -22.264491      8.2735    -30.5379    -34.3941      3.8561      0.0000      8.6193    -43.0134      3.4425      0.4136      0.0000      0.0000   185.03842    52.79805
      0.3799    -22.264311      8.1114    -30.3757    -33.1287      2.7530      0.0000      8.0176    -41.1463      2.1251      0.6279      0.0000      0.0000   181.41378   123.74176
      0.3849    -22.263182      6.0125    -28.2757    -35.2808      7.0051      0.0000      7.4442    -42.7249      4.6977      2.3073      0.0000      0.0000   134.47139    17.10477
      0.3899    -22.262507      6.2512    -28.5137    -31.7277      3.2141      0.0000      6.8856    -38.6133      2.4272      0.7868      0.0000      0.0000   139.80916    98.97462
      0.3949    -22.263029      8.1543    -30.4174    -37.9542      7.5369      0.0000      6.4253    -44.3795      5.7943      1.7426      0.0000      0.0000   182.37411    32.56254
      0.3999    -22.263340      8.5358    -30.7991    -34.4554      3.6563      0.0000      6.0214    -40.4769      1.9157      1.7407      0.0000      0.0000   190.90513   110.74905
      0.4049    -22.263600      7.1341    -29.3977    -34.6872      5.2895      0.0000      5.7873    -40.4745      4.2600      1.0295      0.0000      0.0000   159.55539    30.30290
      0.4099    -22.264781      8.0621    -30.3269    -34.4513      4.1244      0.0000      5.7721    -40.2234      1.0135      3.1109      0.0000      0.0000   180.31177    91.88409
      0.4149    -22.265328      9.6529    -31.9183    -35.5534      3.6351      0.0000      5.8681    -41.4214      2.5808      1.0543      0.0000      0.0000   215.89076    84.60267
      0.4199    -22.264672      9.8622    -32.1269    -34.9952      2.8683      0.0000      6.2281    -41.2233      2.0155      0.8528      0.0000      0.0000   220.57146    83.69781
      0.4249    -22.263904      9.3514    -31.6153    -37.7423      6.1270      0.0000      6.6075    -44.3498      2.8205      3.3065      0.0000      0.0000   209.14704   104.57175
      0.4299    -22.263554      8.3210    -30.5846    -35.4290      4.8444      0.0000      7.0760    -42.5050      4.5028      0.3416      0.0000      0.0000   186.10238    55.14483
      0.4349    -22.262581      6.3742    -28.6368    -32.2787      3.6419      0.0000      7.5859    -39.8646      3.0620      0.5799      0.0000      0.0000   142.56178    89.30965
      0.4399    -22.262266      6.2626    -28.5249    -37.4239      8.8990      0.0000      7.9649    -45.3888      6.0381      2.8609      0.0000      0.0000   140.06559    24.32822
      0.4449    -22.263442      9.3959    -31.6593    -33.7277      2.0683      0.0000      8.3594    -42.0871      1.7391      0.3292      0.0000      0.0000   210.14226   123.22894
      0.4499    -22.264488      9.9576    -32.2221    -38.2623      6.0402      0.0000      8.5328    -46.7951      5.3332      0.7070      0.0000      0.0000   222.70442    63.52386
      0.4549    -22.264517      8.0664    -30.3309    -34.0673      3.7365      0.0000      8.9703    -43.0377      0.4223      3.3141      0.0000      0.0000   180.40714   113.51991
      0.4599    -22.264864      6.9811    -29.2459    -33.2449      3.9990      0.0000      9.1427    -42.3876      3.5808      0.4182      0.0000      0.0000   156.13411    52.62324
      0.4649    -22.265053      8.0143    -30.2793    -33.1217      2.8424      0.0000      9.5427    -42.6644      1.2250      1.6174      0.0000      0.0000   179.24177   108.66421
      0.4699    -22.263798      7.2578    -29.5216    -36.2790      6.7573      0.0000      9.9477    -46.2266      3.8695      2.8879      0.0000      0.0000   162.32326    72.70861
      0.4749    -22.262722      6.7946    -29.0573    -33.7842      4.7269      0.0000     10.2166    -44.0008      3.9521      0.7747      0.0000      0.0000   151.96320    73.70604
      0.4799    -22.262878      7.2838    -29.5466    -35.3570      5.8104      0.0000     10.6344    -45.9914      3.5803      2.2300      0.0000      0.0000   162.90342    91.65017
      0.4849    -22.263035      6.6574    -28.9205    -35.4230      6.5025      0.0000     10.8524    -46.2754      5.2038      1.2987      0.0000      0.0000   148.89587    60.71371
      0.4899    -22.262987      5.7427    -28.0057    -31.4704      3.4647      0.0000     11.2901    -42.7605      2.3301      1.1346      0.0000      0.0000   128.43829    85.39176
      0.4949    -22.264137      7.4201    -29.6842    -37.3442      7.6600      0.0000     11.6975    -49.0417      4.9525      2.7075      0.0000      0.0000   165.95281    59.64101
      0.4999    -22.265244      9.3617    -31.6269    -32.7722      1.1452      0.0000     12.3588    -45.1310      0.7436      0.4016      0.0000      0.0000   209.37723   142.08298
      0.5049    -22.264856      8.6991    -30.9639    -36.2044      5.2405      0.0000     12.7038    -48.9082      4.5242      0.7163      0.0000      0.0000   194.55701    66.65625
      0.5099    -22.264216      7.9223    -30.1865    -35.6229      5.4364      0.0000     13.1470    -48.7699      1.4575      3.9789      0.0000      0.0000   177.18431   131.62254
      0.5149    -22.264262      9.4975    -31.7618    -36.4002      4.6384      0.0000     12.7136    -49.1138      4.3407      0.2978      0.0000      0.0000   212.41446    83.16046
      0.5199    -22.263401      8.6201    -30.8835    -35.0067      4.1232      0.0000     12.0294    -47.0361      3.4276      0.6957      0.0000      0.0000   192.79049   122.06177
      0.5249    -22.262406      6.6118    -28.8742    -37.0309      8.1567      0.0000     11.3819    -48.4128      3.7997      4.3570      0.0000      0.0000   147.87501    61.44025
      0.5299    -22.262979      7.9725    -30.2355    -35.5225      5.2871      0.0000     10.5511    -46.0737      4.7494      0.5377      0.0000      0.0000   178.30694    89.48323
      0.5349    -22.263921     10.4303    -32.6942    -35.9236      3.2294      0.0000     10.0724    -45.9960      2.6623      0.5671      0.0000      0.0000   233.27624   114.60843
      0.5399    -22.263857     10.1769    -32.4408    -40.2640      7.8233      0.0000      9.4862    -49.7503      4.8918      2.9315      0.0000      0.0000   227.61020    85.21655
