# energy [kcal/mol] of he2
#  conf     e_total  e_nonbond   e_bonded  e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
   7600 -3.62709e-07 -3.627e-07  0.000e+00  0.000e+00 -3.627e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   7700 -4.66125e-09 -4.661e-09  0.000e+00  0.000e+00 -4.661e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   7800 -1.54197e-08 -1.542e-08  0.000e+00  0.000e+00 -1.542e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   7900 -8.90456e-09 -8.905e-09  0.000e+00  0.000e+00 -8.905e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   8000 -1.62106e-07 -1.621e-07  0.000e+00  0.000e+00 -1.621e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   8100 -3.01459e-06 -3.015e-06  0.000e+00  0.000e+00 -3.015e-06  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   8200 -1.45404e-08 -1.454e-08  0.000e+00  0.000e+00 -1.454e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   8300 -3.81310e-09 -3.813e-09  0.000e+00  0.000e+00 -3.813e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   8400 -1.17373e-06 -1.174e-06  0.000e+00  0.000e+00 -1.174e-06  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   8500 -9.20262e-08 -9.203e-08  0.000e+00  0.000e+00 -9.203e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   8600 -2.64748e-07 -2.647e-07  0.000e+00  0.000e+00 -2.647e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   8700 -3.93655e-09 -3.937e-09  0.000e+00  0.000e+00 -3.937e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   8800 -7.09524e-09 -7.095e-09  0.000e+00  0.000e+00 -7.095e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   8900 -1.11754e-07 -1.118e-07  0.000e+00  0.000e+00 -1.118e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   9000 -6.67851e-07 -6.679e-07  0.000e+00  0.000e+00 -6.679e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   9100 -5.10310e-08 -5.103e-08  0.000e+00  0.000e+00 -5.103e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   9200 -3.08656e-08 -3.087e-08  0.000e+00  0.000e+00 -3.087e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   9300 -1.12412e-07 -1.124e-07  0.000e+00  0.000e+00 -1.124e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   9400 -2.33921e-07 -2.339e-07  0.000e+00  0.000e+00 -2.339e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   9500 -1.10709e-06 -1.107e-06  0.000e+00  0.000e+00 -1.107e-06  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   9600 -1.29525e-08 -1.295e-08  0.000e+00  0.000e+00 -1.295e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   9700 -7.59799e-09 -7.598e-09  0.000e+00  0.000e+00 -7.598e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
