#
# INPUTFILE /home/tmpchem/coding/compchem/input/mc/benzene_2.mc
#
# -- INPUT DATA --
#
# MOLFILE /home/tmpchem/coding/compchem/geom/xyzq/benzene_2.xyzq
# ENERGYOUT /home/tmpchem/coding/compchem/data/mc/benzene_2.dat
# GEOMOUT /home/tmpchem/coding/compchem/data/mc/benzene_2.xyz
# RANDOMSEED 558222221
# TEMPERATURE 15.000000 K
# BOUNDARY 21.750000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 2.000000 s
# ENERGYCONF 25
# GEOMCONF 100
# TOTALCONF 20000
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol] vs. configuration
#  conf        e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
   1175  2.34174e+00  1.307e+00  1.035e+00  0.000e+00 -6.442e-01  1.951e+00  3.608e-01  3.772e-01  2.881e-01  8.876e-03
   1200  2.36236e+00  1.302e+00  1.060e+00  0.000e+00 -6.457e-01  1.948e+00  3.007e-01  4.327e-01  3.161e-01  1.066e-02
   1225  2.38726e+00  1.307e+00  1.081e+00  0.000e+00 -6.457e-01  1.952e+00  2.599e-01  4.896e-01  3.185e-01  1.253e-02
   1250  2.66967e+00  1.307e+00  1.363e+00  0.000e+00 -6.451e-01  1.952e+00  3.608e-01  5.323e-01  4.484e-01  2.114e-02
   1275  2.80584e+00  1.304e+00  1.502e+00  0.000e+00 -6.467e-01  1.951e+00  4.666e-01  5.635e-01  4.481e-01  2.356e-02
   1300  2.80646e+00  1.299e+00  1.507e+00  0.000e+00 -6.473e-01  1.947e+00  5.443e-01  4.906e-01  4.508e-01  2.129e-02
   1325  2.78818e+00  1.302e+00  1.486e+00  0.000e+00 -6.483e-01  1.951e+00  5.517e-01  4.100e-01  5.013e-01  2.267e-02
   1350  2.60385e+00  1.306e+00  1.298e+00  0.000e+00 -6.491e-01  1.955e+00  4.405e-01  4.030e-01  4.401e-01  1.422e-02
   1375  2.64977e+00  1.309e+00  1.341e+00  0.000e+00 -6.482e-01  1.957e+00  6.232e-01  2.980e-01  4.066e-01  1.298e-02
   1400  2.81291e+00  1.311e+00  1.502e+00  0.000e+00 -6.481e-01  1.959e+00  7.999e-01  2.622e-01  4.262e-01  1.331e-02
   1425  2.61245e+00  1.310e+00  1.302e+00  0.000e+00 -6.461e-01  1.956e+00  4.903e-01  2.690e-01  5.215e-01  2.163e-02
   1450  2.56325e+00  1.306e+00  1.258e+00  0.000e+00 -6.432e-01  1.949e+00  3.649e-01  2.785e-01  5.890e-01  2.537e-02
   1475  2.38159e+00  1.303e+00  1.078e+00  0.000e+00 -6.452e-01  1.949e+00  3.215e-01  2.662e-01  4.732e-01  1.730e-02
   1500  2.50375e+00  1.308e+00  1.196e+00  0.000e+00 -6.436e-01  1.951e+00  4.631e-01  3.120e-01  4.082e-01  1.287e-02
   1525  2.37528e+00  1.308e+00  1.067e+00  0.000e+00 -6.425e-01  1.951e+00  2.696e-01  3.976e-01  3.904e-01  9.349e-03
   1550  2.39248e+00  1.308e+00  1.084e+00  0.000e+00 -6.421e-01  1.950e+00  3.369e-01  2.976e-01  4.362e-01  1.362e-02
   1575  2.58838e+00  1.304e+00  1.284e+00  0.000e+00 -6.446e-01  1.949e+00  4.849e-01  2.782e-01  5.004e-01  2.098e-02
   1600  2.35508e+00  1.305e+00  1.050e+00  0.000e+00 -6.435e-01  1.949e+00  2.388e-01  3.126e-01  4.838e-01  1.454e-02
   1625  2.37405e+00  1.305e+00  1.070e+00  0.000e+00 -6.424e-01  1.947e+00  3.042e-01  2.936e-01  4.593e-01  1.244e-02
   1650  2.35136e+00  1.305e+00  1.046e+00  0.000e+00 -6.417e-01  1.947e+00  1.937e-01  3.079e-01  5.285e-01  1.610e-02
   1675  2.37454e+00  1.304e+00  1.071e+00  0.000e+00 -6.410e-01  1.945e+00  3.302e-01  2.285e-01  4.984e-01  1.374e-02
   1700  2.40742e+00  1.304e+00  1.104e+00  0.000e+00 -6.420e-01  1.946e+00  3.688e-01  2.377e-01  4.814e-01  1.582e-02
   1725  2.34188e+00  1.305e+00  1.037e+00  0.000e+00 -6.403e-01  1.945e+00  2.622e-01  2.854e-01  4.725e-01  1.720e-02
   1750  2.28558e+00  1.308e+00  9.776e-01  0.000e+00 -6.417e-01  1.950e+00  3.907e-01  1.973e-01  3.792e-01  1.041e-02
   1775  2.38214e+00  1.308e+00  1.074e+00  0.000e+00 -6.426e-01  1.951e+00  3.414e-01  2.576e-01  4.601e-01  1.485e-02
   1800  2.39194e+00  1.306e+00  1.086e+00  0.000e+00 -6.427e-01  1.949e+00  3.323e-01  2.918e-01  4.459e-01  1.578e-02
   1825  2.39492e+00  1.305e+00  1.090e+00  0.000e+00 -6.436e-01  1.948e+00  2.847e-01  2.719e-01  5.089e-01  2.450e-02
   1850  2.27847e+00  1.304e+00  9.740e-01  0.000e+00 -6.432e-01  1.948e+00  2.991e-01  2.266e-01  4.269e-01  2.143e-02
   1875  2.39417e+00  1.300e+00  1.094e+00  0.000e+00 -6.431e-01  1.943e+00  4.696e-01  2.942e-01  3.165e-01  1.344e-02
   1900  2.15746e+00  1.298e+00  8.596e-01  0.000e+00 -6.440e-01  1.942e+00  4.114e-01  1.987e-01  2.409e-01  8.615e-03
   1925  2.35714e+00  1.305e+00  1.053e+00  0.000e+00 -6.438e-01  1.948e+00  5.373e-01  2.682e-01  2.332e-01  1.393e-02
   1950  2.25568e+00  1.304e+00  9.515e-01  0.000e+00 -6.421e-01  1.946e+00  4.149e-01  2.871e-01  2.350e-01  1.458e-02
   1975  2.18990e+00  1.302e+00  8.876e-01  0.000e+00 -6.419e-01  1.944e+00  3.656e-01  2.764e-01  2.300e-01  1.558e-02
   2000  2.13203e+00  1.301e+00  8.311e-01  0.000e+00 -6.429e-01  1.944e+00  3.059e-01  2.234e-01  2.838e-01  1.807e-02
   2025  2.28681e+00  1.302e+00  9.845e-01  0.000e+00 -6.443e-01  1.947e+00  4.272e-01  2.866e-01  2.544e-01  1.634e-02
   2050  2.05160e+00  1.304e+00  7.479e-01  0.000e+00 -6.442e-01  1.948e+00  2.713e-01  2.005e-01  2.597e-01  1.640e-02
