
 -------- Energy Values --------
   component         [kcal/mol]
 -------------------------------
   Total         |    12.9069
   Kinetic       |     0.0000
   Potential     |    12.9069
   Non-bonded    |     1.2845
   Bonded        |    11.6224
   Boundary      |     0.0000
   van der Waals |    -0.6197
   Electrostatic |     1.9042
   Bonds         |     9.8700
   Angles        |     1.7524
   Torsions      |     0.0000
   Out-of-planes |     0.0000

 -------- Molecular Geometry and Non-bonded Parameters ---------
      type     x         y         z       q      ro/2    eps
 ---------------------------------------------------------------
  41 |  14.50  180.0  180.000 2 4 (HA-CA-CA-CA)  0.0000 (22-17-18-14)
  42 |  14.50  180.0    0.000 2 4 (HA-CA-CA-HA)  0.0000 (22-17-18-19)
  43 |  14.50  180.0  179.999 2 4 (HA-CA-CA-CA)  0.0000 (23-13-14-18)
  44 |  14.50  180.0   -0.000 2 4 (HA-CA-CA-HA)  0.0000 (23-13-14-20)
  45 |  14.50  180.0 -180.000 2 4 (HA-CA-CA-CA)  0.0000 (23-13-15-16)
  46 |  14.50  180.0    0.001 2 4 (HA-CA-CA-HA)  0.0000 (23-13-15-24)
  47 |  14.50  180.0  180.000 2 4 (HA-CA-CA-CA)  0.0000 (24-15-16-17)
  48 |  14.50  180.0   -0.000 2 4 (HA-CA-CA-HA)  0.0000 (24-15-16-21)

 -------------- Out-of-plane Angle Data --------------
        vn/2   o_ijkl     types      energy   atoms
 -----------------------------------------------------
   1 |   1.10   0.000 (CA-CA-CA-HA)  0.0000 (3-1-2-9)
   2 |   1.10   0.000 (CA-CA-CA-HA)  0.0000 (4-2-3-10)
   3 |   1.10   0.000 (CA-CA-CA-HA)  0.0000 (5-1-6-7)
   4 |   1.10  -0.000 (CA-CA-CA-HA)  0.0000 (5-3-4-11)
   5 |   1.10   0.000 (CA-CA-CA-HA)  0.0000 (6-2-1-8)
   6 |   1.10   0.000 (CA-CA-CA-HA)  0.0000 (6-4-5-12)
   7 |   1.10   0.000 (CA-CA-CA-HA)  0.0000 (15-14-13-23)
   8 |   1.10  -0.000 (CA-CA-CA-HA)  0.0000 (16-13-15-24)
   9 |   1.10   0.001 (CA-CA-CA-HA)  0.0000 (17-14-18-19)
  10 |   1.10   0.000 (CA-CA-CA-HA)  0.0000 (17-15-16-21)
  11 |   1.10  -0.000 (CA-CA-CA-HA)  0.0000 (18-13-14-20)
  12 |   1.10   0.000 (CA-CA-CA-HA)  0.0000 (18-16-17-22)
